split,video_path,reference,prediction,is_correct,reference_length,prediction_length
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\are you hiding something.mp4,are you hiding something,what are you hiding something,False,4,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i need water\i need water 4.MP4,i need water,i am hungry,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\nice to meet you\nice to meet you (3).MP4,nice to meet you,i am happy,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\thank you so much\thank you so much (6).MP4,thank you so much,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\who are you\who are you (8).mp4,who are you,how are you,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,do not be stubborn,i am not hurt you today,False,4,6
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (2).MP4,my name is xxxxxxxx,i am good,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (4).MP4,go and sleep,i am sleep,False,3,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (4).MP4,help me,i am help me,False,2,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\let him take time\time (5).MP4,let him take time,how are you,False,4,3
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (3).MP4,i am sitting in the class,i am not not not not be you today,False,6,9
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,are you free today,why are you angry,False,4,4
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand.MP4,try to understand,i am not need it,False,3,5
train,data\isl_clstr\ISL_CSLRT_Corpus\ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,i am not really sure,i am really really really sorry,False,5,6
